csv_row,isbn13,label,source,status,fields_found,fields_total,missing_fields,covers_written,reviews_written,genres_written,blurb_chars,warnings,book_url,error,out_dir
143,9780812507140,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
144,9780671039868,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
145,9780373703852,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
146,9780553444858,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
147,9780446351478,,audible,partial,6,7,origin,1,25,9,1352,6,https://www.audible.com/pd/Home-Before-Morning-Audiobook/B0BZT6D2W3,,data
148,9780373078271,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
149,9780837898582,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
150,9780679874379,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
151,9780816743971,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
152,9780590519250,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
153,9780816748129,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
154,9780439082099,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
155,9780849934728,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
156,9780440401964,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
157,9781556613883,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
158,9780590407496,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
159,9780717283347,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
160,9780769605630,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
161,9780140375138,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
162,9780380763504,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
163,9780425161906,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
164,9780679811817,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
165,9780553212655,,audible,partial,6,7,origin,6,25,3,647,7,https://www.audible.com/pd/Nicholas-Nickleby-Audiobook/B002V0RG9A,,data
166,9780671722258,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
167,9780399210808,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
168,9780345274922,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
169,9780821743386,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
170,9780373114559,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
171,9780373034543,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
172,9780373706051,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
173,9780373170630,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
174,9780373105052,,audible,empty,0,7,title; authors; publisher; origin; date_of_publication; language; genres,0,0,0,0,7,,,data
